math score,reading score,writing score,placement score,club join year,placement offer count
74,82,62,100,2019,3
79,80,67,83,2018,2
74,86,69,85,2021,3
76,90,71,111,2019,3
61,83,73,79,2018,2
94,76,64,75,2021,2
70,,80,87,2019,3
66,90,63,86,2018,3
60,82,74,91,2021,3
62,87,60,96,2021,3
72,87,65,81,2019,2
69,88,61,83,2019,2
79,90,67,80,2019,2
80,83,60,92,2018,3
65,85,62,76,2019,2
78,78,70,76,2019,2
77,82,79,86,2019,3
78,87,71,93,2018,3
66,86,76,93,2020,3
73,75,62,75,2021,2
72,83,62,93,2019,3
80,86,79,89,2021,3
74,84,75,84,2020,2
64,87,76,75,2020,2
76,85,60,79,2019,2
63,84,73,81,2018,2
65,84,78,83,2021,2
62,76,74,96,2018,3
63,84,73,89,2021,3
66,76,72,99,2021,3
